Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,5.998000,6.047900,5.968400,5.997700,5.997700,0
2021-07-16,6.035300,6.042500,5.991300,6.033700,6.033700,0
2021-07-19,6.008000,6.154000,5.999100,6.035300,6.035300,0
2021-07-20,6.191900,6.217000,6.121700,6.190100,6.190100,0
2021-07-21,6.148500,6.217500,6.121400,6.147400,6.147400,0
2021-07-22,6.114800,6.161500,6.088500,6.114300,6.114300,0
2021-07-23,6.120500,6.126000,6.066700,6.119000,6.119000,0
2021-07-26,6.093600,6.155500,6.093600,6.093600,6.093600,0
2021-07-27,6.108700,6.143700,6.080300,6.107400,6.107400,0
2021-07-28,6.108500,6.110500,6.044400,6.106900,6.106900,0
2021-07-29,6.056800,6.074200,5.992900,6.056600,6.056600,0
2021-07-30,6.037200,6.108700,6.023200,6.038700,6.038700,0
2021-08-02,6.185500,6.188300,6.182000,6.188300,6.188300,0
